ID,GU,resi_y,resi_m,q1,q2,q3,q3_1_1,q3_1_2,q3_1_3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q6,q6_op,q7,q8,q9,q9_1,q9_2,q9_2_op,q3_3_1,q3_3_2,q3_3_3,q3_3_4,q3_3_5,q3_3_6,q3_3_7,q3_3_8,q3_3_9,q3_3_10,q3_3_11,q3_3_12,q3_3_13,q3_3_14,q3_3_15,q3_3_16,q3_3_16_op,q9_4,q9_5,q9_5_op,q10,q10_op,q11_1,q11_1_op,q11_2,q11_2_op,q12,q13,q13_1,q13_2,q14,q14_op,q15,q15_op,q16,q16_op,q17,q17_op,q18,q19,q20,q21_op,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9_1,DM9_2,DM9_3,DM9_4,DM10,DM11,DM12,DM12_op,DM13,DM14,DM14_op,DM15,wg,ws
846,4,10.0,8.0,4.0,4.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,1.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,3.0,3.0,3.0,,2,40,2.0,3.0,2.0,1.0,2.0,,,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,367.24,0.6448
847,3,23.0,0.0,6.0,6.0,4.0,,,,4.0,4.0,6.0,6.0,6.0,6.0,2.0,,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,6.0,,4.0,3.0,3.0,50.0,2.0,,5.0,,5.0,,2.0,,2.0,3.0,6.0,,2,56,2.0,3.0,5.0,2.0,1.0,0.0,6.0,,,,3.0,,4.0,,6.0,1.0,,1.0,488.0,0.8568
848,4,3.0,2.0,3.0,2.0,2.0,,,,5.0,3.0,4.0,3.0,3.0,3.0,6.0,,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,10.0,,6.0,,3.0,2.0,,,2.0,,1.0,,1.0,,3.0,,3.0,3.0,4.0,,2,28,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,2.0,,3.0,411.74,0.7229
849,4,4.0,2.0,1.0,1.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,8.0,,3.0,,3.0,2.0,,,1.0,,4.0,,1.0,,4.0,,3.0,3.0,2.0,,2,23,1.0,3.0,2.0,3.0,2.0,,,,,,3.0,,10.0,,1.0,1.0,,1.0,952.86,1.673
850,2,5.0,0.0,5.0,5.0,4.0,,,,3.0,5.0,4.0,4.0,4.0,4.0,4.0,,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,2.0,,4.0,1.0,3.0,100.0,3.0,,2.0,,1.0,,2.0,,1.0,1.0,3.0,,2,44,2.0,2.0,5.0,1.0,1.0,3.0,5.0,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,281.02,0.4934
851,2,1.0,2.0,2.0,2.0,4.0,,,,3.0,4.0,4.0,5.0,4.0,4.0,2.0,,5.0,3.0,1.0,4.0,2.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,300.0,3.0,,,,1.0,,2.0,,4.0,3.0,4.0,40.0,3.0,,8.0,안함,1.0,,1.0,,1.0,1.0,3.0,경제활성/교통,2,31,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,1.0,,4.0,1.0,,2.0,142.72,0.2506
852,3,9.0,5.0,6.0,5.0,7.0,1.0,3.0,5.0,1.0,5.0,6.0,7.0,6.0,5.0,2.0,,6.0,1.0,2.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,1.0,,,,2.0,,4.0,,2.0,2.0,,,1.0,,2.0,,1.0,,2.0,,2.0,1.0,2.0,,2,26,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,255.18,0.448
853,3,8.0,6.0,5.0,5.0,5.0,2.0,1.0,4.0,2.0,6.0,7.0,6.0,6.0,7.0,2.0,,6.0,2.0,2.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0,2.0,,,,1.0,,4.0,,3.0,2.0,,,2.0,,2.0,,1.0,,3.0,,2.0,2.0,2.0,,2,28,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,255.18,0.448
854,2,26.0,0.0,5.0,6.0,2.0,,,,4.0,2.0,4.0,3.0,3.0,2.0,6.0,,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,1.0,,,,1.0,,2.0,,4.0,2.0,,,2.0,,2.0,,2.0,,2.0,,2.0,2.0,1.0,없음,1,29,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,9.0,1.0,,1.0,757.4,1.3298
855,2,24.0,7.0,3.0,3.0,4.0,,,,4.0,4.0,4.0,4.0,3.0,4.0,9.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,9.0,,5.0,3.0,4.0,50.0,2.0,,2.0,,6.0,계획 없음,5.0,,3.0,3.0,2.0,,2,59,2.0,3.0,4.0,2.0,1.0,0.0,7.0,,,,1.0,4.0,11.0,,8.0,1.0,,1.0,1153.71,2.0257
856,4,21.0,11.0,5.0,4.0,5.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,,4.0,2.0,4.0,1.0,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,30.0,3.0,,,,4.0,,9.0,,1.0,1.0,4.0,50.0,1.0,,4.0,,1.0,,3.0,,2.0,2.0,3.0,,1,22,1.0,3.0,4.0,1.0,2.0,,,,,,1.0,4.0,2.0,,3.0,1.0,,1.0,1368.9,2.4035
857,3,1.0,2.0,5.0,6.0,5.0,2.0,1.0,4.0,2.0,5.0,5.0,5.0,6.0,5.0,1.0,,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,5.0,1.0,2.0,50.0,2.0,,2.0,,2.0,,4.0,,1.0,2.0,5.0,복지정책 규제 해소,2,54,2.0,1.0,2.0,2.0,1.0,0.0,7.0,,,,2.0,,11.0,,4.0,3.0,,3.0,512.81,0.9004
858,3,10.0,7.0,4.0,4.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,1.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,3.0,3.0,3.0,,2,38,2.0,3.0,2.0,1.0,2.0,,,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,254.32,0.4465
859,2,9.0,7.0,6.0,6.0,5.0,2.0,4.0,1.0,2.0,7.0,6.0,7.0,7.0,7.0,3.0,,6.0,2.0,2.0,1.0,2.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.0,1.0,,,,1.0,,3.0,,2.0,2.0,,,2.0,,2.0,,1.0,,2.0,,2.0,1.0,2.0,,2,25,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,211.0,0.3705
860,2,10.0,9.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,5.0,5.0,6.0,7.0,7.0,1.0,,6.0,1.0,2.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,2.0,,,,1.0,,3.0,,2.0,2.0,,,1.0,,2.0,,1.0,,1.0,,2.0,1.0,1.0,,2,26,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,211.0,0.3705
861,4,28.0,1.0,4.0,5.0,4.0,,,,3.0,2.0,3.0,5.0,4.0,7.0,6.0,,6.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,8.0,,3.0,1.0,2.0,50.0,3.0,,5.0,,2.0,,2.0,,4.0,2.0,3.0,,1,38,1.0,3.0,2.0,3.0,2.0,,,,,,3.0,,10.0,,2.0,1.0,,1.0,654.55,1.1492
862,2,9.0,6.0,6.0,5.0,6.0,1.0,3.0,4.0,2.0,6.0,6.0,7.0,5.0,6.0,2.0,,6.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,3.0,,2.0,2.0,,,1.0,,2.0,,1.0,,1.0,,2.0,1.0,2.0,,2,45,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,3.0,,2.0,535.2,0.9397
863,2,24.0,0.0,5.0,7.0,6.0,1.0,5.0,7.0,2.0,5.0,4.0,5.0,6.0,6.0,5.0,,5.0,5.0,1.0,2.0,3.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,4.0,,,,4.0,,8.0,,4.0,1.0,3.0,50.0,3.0,,4.0,,3.0,,2.0,,1.0,1.0,6.0,,2,26,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,211.0,0.3705
864,1,8.0,6.0,6.0,5.0,6.0,1.0,4.0,5.0,2.0,5.0,6.0,6.0,7.0,6.0,3.0,,6.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,,4.0,,1.0,1.0,4.0,40.0,2.0,,2.0,,2.0,,2.0,,2.0,2.0,2.0,,1,28,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,4.0,,5.0,1.0,,1.0,1488.88,2.6141
865,3,10.0,7.0,5.0,5.0,4.0,,,,3.0,2.0,4.0,3.0,4.0,5.0,4.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,6.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,2.0,2.0,5.0,,1,39,2.0,3.0,2.0,1.0,2.0,,,,,,1.0,1.0,3.0,,8.0,1.0,,2.0,449.18,0.7887
866,1,9.0,10.0,5.0,5.0,5.0,2.0,1.0,6.0,1.0,6.0,6.0,6.0,5.0,5.0,4.0,,6.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,5.0,,3.0,,2.0,2.0,,,2.0,,5.0,,4.0,,5.0,,2.0,2.0,6.0,,1,65,2.0,2.0,4.0,3.0,1.0,0.0,7.0,,,,3.0,,12.0,,9.0,1.0,,1.0,4870.0,8.5506
867,3,1.0,6.0,6.0,6.0,5.0,5.0,8.0,2.0,2.0,6.0,5.0,6.0,6.0,5.0,1.0,,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,10.0,,1.0,,5.0,1.0,2.0,30.0,3.0,,2.0,,5.0,,1.0,,1.0,2.0,5.0,,1,42,2.0,2.0,2.0,2.0,1.0,2.0,3.0,,,,2.0,,3.0,,4.0,4.0,,3.0,508.07,0.8921
868,4,18.0,1.0,7.0,7.0,5.0,7.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,6.0,,1.0,4.0,1.0,1.0,2.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,30.0,1.0,,,,3.0,,10.0,,5.0,3.0,1.0,10.0,3.0,,5.0,,1.0,,1.0,,1.0,1.0,1.0,지역상권활성화,1,30,1.0,4.0,3.0,3.0,2.0,,,,,,2.0,,2.0,,6.0,1.0,,1.0,952.94,1.6732
869,2,3.0,10.0,5.0,5.0,6.0,3.0,4.0,2.0,1.0,5.0,5.0,6.0,5.0,7.0,2.0,,5.0,1.0,2.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,2.0,,,,1.0,,2.0,,4.0,1.0,2.0,40.0,2.0,,2.0,,1.0,,1.0,,1.0,1.0,2.0,,2,33,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,142.72,0.2506
870,2,9.0,3.0,5.0,6.0,5.0,2.0,4.0,6.0,1.0,5.0,6.0,5.0,6.0,5.0,1.0,,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,3.0,,2.0,1.0,3.0,50.0,2.0,,2.0,,2.0,,2.0,,2.0,2.0,2.0,,2,28,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,211.0,0.3705
871,4,3.0,11.0,6.0,5.0,6.0,1.0,2.0,4.0,1.0,6.0,5.0,5.0,6.0,5.0,3.0,,5.0,1.0,2.0,1.0,2.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,2.0,,,,1.0,,2.0,,4.0,1.0,2.0,30.0,2.0,,2.0,,1.0,,1.0,,1.0,1.0,2.0,,2,37,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,266.42,0.4678
872,4,7.0,10.0,6.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,6.0,5.0,5.0,5.0,2.0,,5.0,1.0,2.0,1.0,2.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,2.0,,,,2.0,,1.0,,4.0,1.0,2.0,50.0,2.0,,2.0,,1.0,,1.0,,1.0,1.0,1.0,,2,32,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,216.81,0.3807
873,2,10.0,1.0,3.0,4.0,4.0,,,,2.0,4.0,5.0,5.0,6.0,4.0,3.0,,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,4.0,,4.0,1.0,2.0,50.0,1.0,,2.0,,2.0,,1.0,,1.0,1.0,3.0,,1,66,2.0,3.0,2.0,2.0,1.0,0.0,7.0,,,,3.0,,3.0,,3.0,1.0,,1.0,1824.15,3.2028
874,4,8.0,3.0,6.0,6.0,6.0,1.0,3.0,4.0,2.0,6.0,6.0,7.0,6.0,5.0,1.0,,6.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,2.0,1.0,4.0,50.0,1.0,,2.0,,1.0,,1.0,,2.0,2.0,2.0,,1,25,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,2.0,1340.25,2.3532
875,2,5.0,10.0,6.0,5.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,6.0,5.0,2.0,,5.0,1.0,2.0,1.0,2.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.0,1.0,,,,2.0,,1.0,,4.0,1.0,2.0,40.0,2.0,,2.0,,1.0,,1.0,,1.0,1.0,1.0,,2,26,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,211.0,0.3705
876,4,23.0,8.0,4.0,4.0,4.0,,,,3.0,5.0,5.0,4.0,4.0,4.0,3.0,,4.0,3.0,4.0,3.0,2.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,3.0,,,,3.0,,8.0,,3.0,2.0,,,2.0,,2.0,,2.0,,2.0,,3.0,3.0,1.0,일자리,1,52,2.0,1.0,4.0,2.0,1.0,0.0,6.0,,,,1.0,4.0,7.0,,5.0,1.0,,1.0,785.75,1.3796
877,4,8.0,10.0,4.0,4.0,4.0,,,,5.0,2.0,4.0,2.0,2.0,3.0,7.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,3.0,3.0,6.0,,1,30,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,952.94,1.6732
878,4,5.0,2.0,5.0,3.0,6.0,5.0,2.0,7.0,2.0,6.0,3.0,5.0,4.0,6.0,4.0,,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,5.0,,4.0,1.0,3.0,80.0,3.0,,1.0,,1.0,,1.0,,2.0,2.0,3.0,,1,42,2.0,3.0,3.0,2.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,545.63,0.958
879,2,9.0,5.0,6.0,5.0,5.0,1.0,3.0,2.0,2.0,7.0,6.0,7.0,6.0,7.0,1.0,,6.0,2.0,2.0,1.0,2.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,2.0,,,,1.0,,2.0,,2.0,2.0,,,2.0,,2.0,,1.0,,2.0,,2.0,2.0,1.0,,2,26,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,211.0,0.3705
880,3,10.0,8.0,5.0,5.0,6.0,2.0,1.0,4.0,2.0,6.0,5.0,7.0,7.0,6.0,2.0,,5.0,2.0,2.0,1.0,2.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,1.0,,,,1.0,,4.0,,2.0,2.0,,,1.0,,2.0,,1.0,,1.0,,1.0,1.0,2.0,,2,27,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,255.18,0.448
881,4,26.0,2.0,4.0,4.0,6.0,1.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,8.0,,3.0,2.0,,,1.0,,2.0,,1.0,,2.0,,2.0,2.0,5.0,,2,26,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,2.0,4.0,,2.0,1.0,,1.0,411.74,0.7229
882,4,9.0,4.0,5.0,6.0,6.0,1.0,3.0,4.0,1.0,6.0,6.0,5.0,7.0,5.0,6.0,,6.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,3.0,,1.0,1.0,3.0,45.0,1.0,,2.0,,1.0,,2.0,,3.0,1.0,1.0,,2,28,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,2.0,411.74,0.7229
883,4,16.0,9.0,4.0,4.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,1.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,3.0,3.0,3.0,,1,20,1.0,1.0,4.0,3.0,2.0,,,,,,3.0,,10.0,,9.0,1.0,,2.0,1368.9,2.4035
884,1,10.0,5.0,5.0,6.0,5.0,1.0,5.0,6.0,1.0,6.0,7.0,5.0,6.0,5.0,1.0,,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,4.0,,1.0,1.0,3.0,60.0,2.0,,2.0,,2.0,,2.0,,2.0,2.0,5.0,,1,27,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,1488.88,2.6141
885,1,10.0,2.0,6.0,6.0,6.0,1.0,6.0,8.0,1.0,5.0,6.0,6.0,6.0,5.0,6.0,,6.0,1.0,1.0,1.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,2.0,,,,9.0,,6.0,,3.0,2.0,,,1.0,,2.0,,1.0,,1.0,,2.0,2.0,5.0,,2,52,2.0,3.0,4.0,2.0,1.0,2.0,5.0,6.0,,,1.0,4.0,11.0,,8.0,1.0,,1.0,564.83,0.9917
886,1,44.0,7.0,5.0,6.0,7.0,1.0,2.0,8.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,,6.0,2.0,1.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,50.0,2.0,,,,4.0,,8.0,,5.0,3.0,2.0,50.0,3.0,,2.0,,1.0,,3.0,,2.0,1.0,3.0,,2,45,2.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,,,1.0,1.0,2.0,,6.0,3.0,,2.0,487.91,0.8567
887,4,2.0,0.0,4.0,3.0,4.0,,,,2.0,4.0,4.0,4.0,4.0,4.0,2.0,,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,4.0,,5.0,,5.0,1.0,2.0,50.0,2.0,,2.0,,3.0,,2.0,,1.0,3.0,3.0,,2,30,1.0,2.0,1.0,2.0,2.0,,,,,,1.0,1.0,10.0,,2.0,4.0,,3.0,216.81,0.3807
888,4,52.0,4.0,4.0,4.0,5.0,9.0,5.0,2.0,2.0,6.0,5.0,4.0,4.0,6.0,4.0,,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,4.0,,4.0,1.0,2.0,50.0,3.0,,4.0,,1.0,,5.0,,2.0,4.0,5.0,,2,52,1.0,1.0,1.0,3.0,2.0,,,,,,2.0,,13.0,근로지원인,3.0,1.0,,1.0,667.83,1.1726
889,4,22.0,11.0,4.0,4.0,4.0,,,,3.0,4.0,5.0,5.0,4.0,4.0,3.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,8.0,,3.0,2.0,,,2.0,,3.0,,1.0,,1.0,,1.0,2.0,1.0,취업,2,51,2.0,1.0,4.0,2.0,1.0,0.0,6.0,7.0,,,3.0,,11.0,,5.0,1.0,,1.0,667.83,1.1726
890,2,10.0,2.0,6.0,6.0,6.0,2.0,5.0,7.0,2.0,6.0,6.0,6.0,6.0,6.0,10.0,,6.0,2.0,2.0,2.0,2.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,150.0,4.0,,,,4.0,,3.0,,2.0,1.0,2.0,50.0,2.0,,2.0,,1.0,,1.0,,2.0,1.0,3.0,,2,37,2.0,3.0,2.0,1.0,2.0,,,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,175.68,0.3085
891,3,8.0,10.0,4.0,4.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,1.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,2.0,,3.0,2.0,,,4.0,,5.0,,1.0,,1.0,,1.0,1.0,5.0,,2,23,1.0,1.0,3.0,3.0,2.0,,,,,,3.0,,10.0,,7.0,1.0,,2.0,864.13,1.5172
892,4,10.0,6.0,5.0,4.0,4.0,,,,3.0,6.0,5.0,5.0,5.0,6.0,9.0,,5.0,2.0,2.0,2.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,250.0,5.0,,,,1.0,,6.0,,4.0,1.0,3.0,70.0,2.0,,2.0,,1.0,,2.0,,2.0,1.0,5.0,,2,56,2.0,3.0,4.0,2.0,1.0,0.0,7.0,,,,2.0,,4.0,,7.0,1.0,,1.0,545.92,0.9585
893,2,8.0,10.0,4.0,4.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,1.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,3.0,3.0,3.0,,2,36,2.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,7.0,1.0,,2.0,175.68,0.3085
894,3,23.0,10.0,5.0,5.0,5.0,7.0,8.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,12.0,,4.0,2.0,,,3.0,,2.0,,1.0,,1.0,,3.0,3.0,6.0,거주자 우선주차관련,2,57,1.0,4.0,1.0,3.0,2.0,,,,,,1.0,1.0,1.0,,7.0,1.0,,1.0,488.0,0.8568
895,1,20.0,7.0,6.0,6.0,6.0,1.0,3.0,4.0,1.0,6.0,6.0,4.0,6.0,6.0,1.0,,6.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,3.0,,2.0,1.0,4.0,50.0,3.0,,3.0,,2.0,,4.0,,1.0,2.0,3.0,,2,32,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,7.0,2.0,,2.0,198.29,0.3482
896,3,18.0,6.0,6.0,5.0,6.0,6.0,1.0,3.0,2.0,6.0,7.0,7.0,6.0,7.0,6.0,,6.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,2.0,,4.0,,2.0,1.0,3.0,45.0,2.0,,2.0,,2.0,,2.0,,2.0,1.0,2.0,,2,52,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,2.0,,1.0,512.81,0.9004
897,2,10.0,0.0,4.0,5.0,4.0,,,,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,11.0,,3.0,,5.0,1.0,3.0,100.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,주거안정,2,49,2.0,3.0,4.0,1.0,1.0,0.0,6.0,,,,1.0,1.0,3.0,,5.0,2.0,,1.0,535.2,0.9397
898,4,10.0,3.0,1.0,3.0,4.0,,,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,9.0,,4.0,2.0,,,3.0,,2.0,,1.0,,1.0,,2.0,3.0,1.0,,2,36,1.0,3.0,2.0,1.0,2.0,,,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,266.42,0.4678
899,1,12.0,6.0,6.0,7.0,5.0,2.0,1.0,5.0,3.0,5.0,6.0,6.0,5.0,5.0,1.0,,5.0,3.0,4.0,2.0,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,120.0,2.0,,,,6.0,,2.0,,4.0,1.0,5.0,100.0,3.0,,1.0,,2.0,,1.0,,1.0,3.0,5.0,,2,46,1.0,4.0,3.0,3.0,2.0,,,,,,1.0,1.0,2.0,,8.0,2.0,,1.0,487.91,0.8567
900,1,28.0,0.0,2.0,3.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,2.0,,4.0,5.0,4.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,500.0,2.0,,,,2.0,,3.0,,5.0,1.0,2.0,50.0,3.0,,2.0,,2.0,,1.0,,3.0,4.0,2.0,,2,33,1.0,3.0,4.0,1.0,2.0,,,,,,2.0,,3.0,,9.0,1.0,,1.0,198.29,0.3482
