지표명,산출방법,단위,출처,year,value
명목,,,,2016,30437536.0
실질,,,,2016,31406797.0
수출액,"수출액
▶조회조건: 품목-HSK, 지역-전국, 서을, 경기, 수원, 성남, 고양, 용인, 화성,  당월/누계-당해, 단위-금액 - 천불
",천불,"한국무역협회, 「K-stat 무역통계」 ",2016,6365254.0
창업률,"※ 창업률 = (신생기업 수 ÷ 활동기업 수) × 100
▶활동기업: 비영리기업을 제외한 국내 영리기업 중 당해연도(t)에 매출액이 있거나, 상용근로자가 있는 기업
▶신생기업: 당해연도(t)와 전년도(t-1)의 활동 영리기업DB 비교를 통해 새로운 경제활동을 시작하여 매출액 또는 상용근로자가 존재하는 기업 (기존 기업일지라도 대표자, 주소, 산업활동(산업 중분류 기준) 중 2개 이상이 동시에 변경된 경우에는 신생기업으로 분류)
▶국세청 사업자등록자료 중 약 750만개 활동영리기업 (표준산업분류상 O, T, U 제외), 10차개정(2011~) 기준
",%,"통계청, 「기업생멸행정통계」 ",2016,16.764989430671395
벤처기업수,"「벤처기업육성에관한특별조치법」 제2조에 의해 벤처기업으로 확인·지정한 모든 벤처기업체의 수
※ 연도별 벤처기업 수는 벤처확인유형별 기업 수의 합
",개사,"중소벤처기업부, 벤처확인종합관리시스템",2016,631.0
여성기업 수,"여성대표자 사업체 수
",개,"경기도 수원시, 「사업체조사」",2016,28217.0
주택보급률,"※ 주택보급률 = 주택수 ÷ 일반가구수 × 100
▶국토교통부 새로운 산정방식 적용, 다가구 단독주택 산정방식이 변경(동 → 호), 2005년부터~게재, 국토부 新산정방식과 불합. 수원시는 통계정확성을 위해 이를개선, 5년마다 실시중인 인구주택 총조사를 기준으로 세움터에 입력되는 월별 순증분(신축,멸실)을 반영하여 다가구 주택의 호수를 반영 산출한 값
",%,"경기도 수원시, 「수원기본통계」",2016,99.3
주택가격,,,,2016,
매매가격지수,"기준시점의 가격을 100으로 하여 상대적 가격 수준을 지수화(종합)
▶기준: 2021.06.=100.0(시점 변경(기존:'17.11. → 변경: '21.06.)에 따른 데이터 변경)
▶수원기본통계 내 주택가격지수에서 제공하는 주택매매가격지수(종합)임
",,"경기도 수원시, 「수원기본통계」",2016,98.6
전세가격지수,"기준시점의 가격을 100으로 하여 상대적 가격 수준을 지수화(종합)
▶기준: 2021.06.=100.0(기준시점 변경(기존:'17.11. → 변경: '21.06.)에 따른 데이터 변경)
▶수원기본통계 내 주택가격지수에서 제공하는 주택전세 가격지수(종합)임
",,"경기도 수원시, 「수원기본통계」",2016,98.9
미분양주택수,"미분양 건 수
▶연도별 미분양 주택은 매년 12월 기준",호,"국토교통부, 「미분양주택현황보고」",2016,32.0
주거환경만족도,"※ 주택 만족도 = 5점 척도 중 ""매우 만족"" + ""약간 만족"" 응답 비율
",%,"경기도 수원시, 「수원시사회조사」",2016,
노후주택비율,"전체 주택 대비 30년 이상 된 주택 비율
※ 노후주택비율(%) = (30년 이상 된 주택 수 ÷ 전체 주택 수) × 100
",%,통계청(인구총조사과),2016,8.0
비주택거주가구비율,"인구주택총조사(전수조사)의 주택이외의 거처(오피스텔, 숙박업소, 기숙사 사회시설, 판잣집 비닐하우스, 기타) 중 오피스텔을 제외한 거주가구 비율
※ 비주택 거주가구 비율 = ((주택이외의 거처 가구 수 - 오피스텔 가구 수) ÷ 전체 가구 수) × 100
",%,"통계청, 「인구주택총조사고보서」",2016,
아파트 수,"아파트 수
",호,"경기도 수원시, 「수원기본통계」",2016,243125.0
주관적 건강수준 인지율,"평소에 본인의 건강이 ""매우 좋은"" 또는 ""좋은""이라고 응답한 사람의 분율
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2016,42.7
흡연율,"평생(지금까지) 5갑(100개비) 이상 흡연한 사람으로서 현재 흡연하는 사람(""매일 피움"" 또는 ""가끔 피움"")의 분율
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2016,21.8
건강생활 실천율,"금연, 절주, 걷기를 모두 실천하는 사람의 분율
▶금연 실천자: 평생 흡연해본 적이 없거나, 과거 흡연하였더라도 현재 금연하고 있는 사람
▶절주 실천자: 비음주자이거나, 최근 1년동안 술을 마셨더라도 한 번의 술자리에서 남자는 7잔 미만, 여자는 5잔 미만으로 주 1회 이하로 마신 사람
▶걷기 실천자: 최근 1주일 동안 1일 30분 이상 걷기를 주 5일 이상 실천한 사람
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2016,30.2
만성질환 유병율,"만성질환(비만, 당뇨, 고혈압)이 있는 사람의 비율(표준화율)
▶당뇨병/고혈압: 의사에게 당뇨병/고혈압을 진단받은 30세 이상 사람의 분율(%)
▶비만: 체질량지수(kg/㎡)가 25이상인 사람의 분율(%)
  - 2018년 연도비교 및 해석 시 주의 (2018년: 자가보고 키/몸무게 설문 시 신체계측을 병행하여 실시, 2008-2017년, 2020년: 자가보고 키/몸무게만 설문)
  - 2019년 조사시 자가보고 키/몸무게를 설문하지 않음에 따라 시계열 단절이 발생
▶표준화율(%): 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과",%,"질병관리청, 「지역사회건강조사」",2016,
당뇨병,,,,2016,8.4
고혈압,,,,2016,20.4
비만,,,,2016,27.3
치매 유병율,"65세 이상 추정치매유병률
※ 추정치매유병률 = (치매환자 유병현황 내 추정지매환자수 ÷ 65세 이상 노인인구) × 100
▶2015년~2023년: 2016년 전국 치매역학조사(보건복지부·분당서울대병원, 2017) 표준화 유병률 적용
▶노인인구수: 2015년~2023년 주민등록연앙인구 (통계청, 각년도)
",%,"중앙치매센터, 「치매유병현황」 
",2016,9.6
미충족 의료율,"최근 1년 동안 본인이 병의원(치과 제외)에 가고 싶을 때 가지 못한 사람의 분율
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2016,
인구천명당 의료기관병상수,"인구 천명당 의료법 제3조에 규정된 “의료기관”의 전체 병상수
※ 인구천명당 의료기관병상수=(총병상수 ÷ 주민등록인구) × 1,000
▶의료기관: 종합병원, 병원, 치과병원, 한방병원, 요양병원, 의원, 치과의원, 한의원, 조산원
",개,건강보험심사평가원(자원평가실),2016,8.8
의료서비스접근성,"건강보험 대상자 진료실적(지급 기준) 내 지급 건 수
▶지급기준(잠정치)임
▶소수점 미만을 반올림한 것으로 합계(내원일수 제외)와 일치하지 않을 수 있음
",건,"경기도, 「경기도기본통계」",2016,29917794.0
삶의 만족도,"최근 자신의 삶에 대한 만족도 
※ 0점 척도(ⓞ전혀 만족하지 않는다~⑩매우 만족한다)의 평균 점수",점,"경기도 수원시, 「수원시사회조사」",2016,
행복감,"어제 느낀 행복 정도
※ 10점 척도(ⓞ한번도 행복하지 않았다~⑩자주 행복했다)의 평균 점수",점,"경기도 수원시, 「수원시사회조사」",2016,
우울감,"최근 1년 동안 연속적으로 2주 이상 일상생활에 지장이 있을 정도의 우울감(슬픔이나 절망감 등)을 경험한 사람의 분율(%)
▶표준화율: 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 통계청)로 보정한 결과
",%,"질병관리청, 「지역사회건강조사」",2016,6.2
일과 생활의 균형 만족도,"현재 일(학업, 가사노동 등)과 여가생활 간 균형이 잘 이루어지고 있다에 대한 ""그렇다"" 응답 비율
※ 만족도 = 7점 척도 중 ⑤+⑥+⑦ 매우 그렇다 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
초미세먼지 일평균 농도,,,,2016,
미세먼지(PM-10),미세먼지(PM-10) 농도,㎍/㎥,"에어코리아, 경기도 대기환경정보 사이트",2016,53.0
초미세먼지(PM-2.5),초미세먼지(PM-2.5) 농도,㎍/㎥,"에어코리아, 경기도 대기환경정보 사이트",2016,26.0
초미세먼지 주의보 발령일수,,,,2016,
미세먼지(PM-10) 주의보 발효,해당지역의 PM-10 시간당 평균농도가 150㎍/㎥ 이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2016,7.0
초미세먼지(PM-2.5) 주의보 발효,해당지역의 PM-2.5 시간당 평균농도가 75㎍/㎥이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2016,
미세먼지(PM-10) 경보 발효,해당지역의 PM-10 시간당 평균농도가 300㎍/㎥이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2016,
초미세먼지(PM-2.5) 경보 발효,해당지역의 PM-2.5 시간당 평균농도가 150㎍/㎥ 이상 2시간 이상 지속인 때,건,"에어코리아, 경기도 대기환경정보 사이트",2016,
1인당 온실가스 배출량,"1인당 온실가스 배출량(산업 부문 제외)
▶국가 온실가스 종합정보센터(GIR) 공표 자료 가공",톤CO2eq/인,"경기도 수원시, 기후변화대책 ",2016,
대기질 만족도,"현재 살고 있는 지역(동네)의 대기환경(미세먼지, 악취, 매연, 오존경보) 만족도
※ 만족도 = 5점 척도 중 ""매우좋다"" + ""약간좋다"" 응답 비율",%,"경기도, 「경기도사회조사」",2016,
친환경 자동차 비율(보급율),"등록 차량 중 친환경 자동차 비율
※ 친환경 자동차 비율(보급율) = (친환경자동차(하이브리드차 + 전기차 + 수소차) 수/전체 자동차수) × 100",%,자동차관리정보시스템,2016,1.2964251114328764
전체 등록 차량 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준",대,자동차관리정보시스템,2016,475847.0
등록 하이브리드 차 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준
▶2023년은 경기도 수원시 기본통계 기준",대,"자동차관리정보시스템
경기도 수원시, 「수원기본통계」",2016,6069.0
등록 전기차 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준",대,자동차관리정보시스템,2016,100.0
등록 수소차 수,"자동차관리정보시스템에 등록된 자료 기준, 매년 12월 자료 기준",대,자동차관리정보시스템,2016,
신재생에너지 보급률,"신·재생에너지 생산량(toe), 총발전량(MWh), 보급용량(발전_누적, 신규(kW))","생산량(toe), 총발전량(MWh), 보급용량(kW)","한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2016,
생산량,,toe,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2016,
총발전량,,MWh,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2016,
보급용량: 발전_누적,,kW,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2016,
보급용량: 발전_신규,,kW,"한국에너지공단 신·재생에너지센터, 신･재생에너지 보급통계",2016,
1인당 생활폐기물 발생량,"주민 1인당 배출하는 생활계폐기물의 양
※ 주민1인당 생활계폐기물배출량 = (폐기물발생량 ÷ 주민등록인구) × 1000
▶2020년 수치는 연간폐기물 발생량에 366일을 나누어 환산한 수치임
▶주민 수: 주민등록상 해당 지역에 거주하고 있는 주민의 수
▶폐기물: 사람의 생활이나 사업활동에 필요하지 않게 된 물질
▶생활계폐기물: 가정생활폐기물 + 사업장생활계폐기물(사업장비배출시설계폐기물)
",kg/일,"환경부(폐자원관리과)
",2016,1.0
생활계폐기물 재활용률,"발생되는 폐기물 중 재활용 되는 생활계폐기물의 비율
※ 생활계폐기물 재활용률 = (총재활용량 ÷ 생활계폐기물 총발생량) × 100
▶2020년 수치는 연간폐기물 발생량에 366일을 나누어 환산한 수치임
▶생활계폐기물: 생활(가정)폐기물 + 사업장비배출시설계폐기물
",%,"환경부(폐자원관리과)
",2016,59.9
1인당 공원 면적,"1인당 공원면적 = 도시공원 면적(㎡) ÷ 주민등록인구(명)
※ 공원면적: 도시공원 및 녹지 등에 관한 법률 제15조 제1호에 따른 분류, 조성기준
▶ 공원면적 단위조정(천㎡  →  ㎡) 등으로 경기데이터드림의 자료와 다름
▶ 전체인구 및 행정구역기준 인구는 행정안전부 ""주민등록 인구통계"" 사용
",㎡/인,"▶공원: 경기도 수원시, 「수원기본통계」(자료: 경기도 정원산업과)
▶도시인구: 한국국토정보공사, 「도시계획현황」",2016,7.119521021472462
녹지환경 만족도,"현재 살고 있는 지역(동네)의 녹지환경(자연경관 및 공원, 녹지 등) 만족도 
※ 5점 척도 중 ""매우좋다+약간 좋다"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,
주차장확보율,"주차장의 수를 자동차등록대수로 나눈 비율
※ 주차장확보율 = (주차장면수 ÷ 자동차등록대수) × 100
▶주차장: 자동차 등의 주차에 필요한 독립적인 시설을 갖춘 부지와 주차전용 건축물 및 이에 접속된 부속시설물의 부지, 노상주차장, 노외주차장, 건축물 부설주차장을 포함
▶자동차: 승용차, 승합차, 화물차, 특수차에 한함
",%,"경기도 수원시, 「수원기본통계」
",2016,106.15344848239035
대중교통 만족도,"대중교통 수단별 만족도
※ 만족도 = ""매우만족"" + ""약간만족"" 응답 비율
▶2017년 지하철, 기차, 택시, 2019년 지하철ㆍ경전철, 기차, 택시, 버스, 2021년부터 지하철ㆍ경전철, 기차, 택시, 시내/마을버스, 시외/고속버스로 구분
▶2019년 부터는 교통수단별 이용자의 만족도
",%,"경기도 수원시, 「수원시사회조사」",2016,
지하철(경전철),,%,"경기도 수원시, 「수원시사회조사」",2016,
기차,,%,"경기도 수원시, 「수원시사회조사」",2016,
택시,,%,"경기도 수원시, 「수원시사회조사」",2016,
버스,,%,"경기도 수원시, 「수원시사회조사」",2016,
시내/마을버스,,%,"경기도 수원시, 「수원시사회조사」",2016,
시외/고속버스,,%,"경기도 수원시, 「수원시사회조사」",2016,
보행환경 만족도,"주거지역, 수원도심(시내), 야간보행 환경별 만족도
※ 만족도 = 7점 척도 중 ⑤ + ⑥ + ⑦ 매우 만족한다 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
주거지역,,,,2016,
수원도심(시내),,,,2016,
야간보행,,,,2016,
개인형 이동수단 만족도,"킥보드 등 개인형 이동수단(PM)의 만족도
※ 만족도 = 7점 척도 중 ⑤ + ⑥ + ⑦ 매우 만족한다 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
폭염으로 인한 온열 질환자수,"온열질환자 수
▶구별 진료인원의 합
▶주상병코드: 열사병(T67.0), 열실신(T67.1), 열경련(T67.2), 열탈진(T67.3~67.5), 열부종(T67.7), 기타(T67.8~T67.9)
▶진료인원: 해당 구분별 진료인원(중복제외)
▶진료일 기준(한의분류 제외, 약국 제외), 건강보험 급여실적(의료급여 제외)이며, 비급여는 제외, 2024년 6월 지급분까지 반영
",명,"행정안전부 공공데이터포털, 국민건강보험공단_시군구별 온열질환자 수 
▶민원인의 공공데이터 제공 신청에 따라 연도별 및 연월별 데이터 재발췌(2024.11.28. 기준)",2016,299.0
자연재해 피해액,총 피해액,천원,"국민재난안전포털, 자연재난상황통계",2016,215676.0
자동차 천대당 교통사고 발생건수,"자동차 천대당 발생한 교통사고 수
※ 자동차 천대당 교통사고 발생 건 수 = (교통사고발생건수 ÷ 자동차등록대수) × 1,000
▶교통사고: 도로교통법 제2조에 규정하는 도로에서 차의 교통으로 인하여 발생한 인적피해를 수반하는 교통사고로 차의 교통으로 인하여 사람을 사상한 사고 중 경찰에서 접수하여 처리한 사고
▶자동차: 승용차, 승합차, 화물차, 특수차에 한함
",건,"경찰청(교통안전과 교통안전계)
",2016,9.4
개인형 이동장치 교통 사고건수,"가해자운전자 차종별 교통사고 통계 내 개인형이동장치(PM) 사고 건수
▶사고년도 기준
",건,"한국도로교통공단, 교통사고분석시스템",2016,
화재발생건수,"지난 1년간 발생한 화재사고 건 수
▶화재: 사람의 의도에 반하거나 고의에 의해 발생하는 연소 현상으로서 소화시설 등을 사용하여 소화할 필요가 있거나 또는 화학적인 폭발현상을 말함",건,소방청(화재현황통계),2016,428.0
생활안전도,"자연재난, 사회재난, 정보보안, 감염병, 범죄위험 각각에 대해 안전하다고 느끼는 응답 비율
※ 안전하다 = 7점 척도 중 ⑤+⑥+⑦ 매우 안전하다 응답 비율
",%,"수원시정연구원, 「수원서베이」",2016,
자연재난,,%,"수원시정연구원, 「수원서베이」",2016,
사회재난,,%,"수원시정연구원, 「수원서베이」",2016,
정보보안,,%,"수원시정연구원, 「수원서베이」",2016,
감염병,,%,"수원시정연구원, 「수원서베이」",2016,
범죄위험,,%,"수원시정연구원, 「수원서베이」",2016,
일상생활 범죄피해 두려움,"일상생활 중에 범죄피해에 대한 두려움 정도(나 자신)
※ 두려움(나 자신) = 5점 척도 중 ""두려운 편이다(또는 조금 두렵다)"" + ""매우 두렵다"" 응답 비율
",%,"경기도 수원시, 「수원시사회조사」",2016,30.900000000000002
자살률,"인구 10만명당 자살(고의적 자해)로 인해 사망한 사람의 수
※ 인구십만명당 자살률 = (자살 사망자수 ÷ 주민등록연앙인구) × 100,000
",십만명당 명,"통계청, 「사망원인통계」
",2016,22.8
보육환경만족도,"미취학 아동 부모의 보육환경(어린이집, 유치원 등) 만족도
※ 만족도 = 5점 척도 중 ""약간만족"" + ""매우만족"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,
국공립어린이집이용률,"전체 어린이집 보육아동 중 국공립어린이집 보육아동 비율
※ 국·공립어린이집이용률 = (국·공립 어린이집 보육아동 수 ÷ 전체 어린이집 보육아동 수) × 100
▶보육아동수는 현원 현황임
",%,"경기도, 「경기도기본통계」 ",2016,7.9149010274568985
교육환경 만족도,,,,2016,
공교육,"초중고 학부모의 공교육 환경 만족도
※ 만족도 = ""약간 만족"" + ""매우 만족"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,
학교 교육 이외,"초중고 학부모의 학교 교육 이외 교육 만족도
※ 만족도 = ""그런 편이다"" + ""매우 그렇다"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,
교육비 부담도,"가구 생활비 중 부담스러운 지출에 대해 ""교육비""라는 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,
평생교육시설 수,"「평생교육법」에 따라 교육청이 관리하는 대상 평생교육시설 수(누적)
▶개원상태인 평생교육시설 중 등록연도별 시설 수 누적(합산) 
▶지역은 소재지 기준, 연도는 등록일자 기준, 등록상태는 개원 기준",개,"행정안전부 공공데이터포털, 전국평생교육시설정보표준데이터",2016,66.0
평생교육 기회 충분성,"평생 교육 기회 충분 정도(만 25세 이상)
※ 충분성 = ""그런 편이다"" + ""매우 그렇다"" 응답 비율
▶2021년 조사: ""잘 모르겠다"" 항목 있음",%,"경기도 수원시, 「수원시사회조사」",2016,
인구십만명당 문화기반시설수,"인구단위(십만명)로 환산한 문화기반시설수
※ 인구 십만명당 문화기반시설수 = (기반시설수 ÷ 주민등록인구) × 100,000
▶문화기반시설: 「도서관법」상 도서관, 「박물관 및 미술관 진흥법」상 박물관, 미술관, 문예회관(종전 「문화예술진흥법」상 문화예술회관) 및 「지방문화원진흥법」상 지방문화원, 문화의 집
",개,문화체육관광부(문화기반과),2016,2.9
1인당 문화관련 예산액,"문화체육관광부, 「지역문화현황통계」의 2017년 인구 1명당 문화관련 예산액 산출방법에 따른 1인당 문화관련 예산액
※ 인구 1명당 문화관련 예산액(천원) = 문화관련 예산(천원) ÷ 주민등록인구(명) 
▶통합재정개요(예산) > 세출 > 총계 > 부문별 세출(총계, 당초) 값 사용
▶문화관련 예산: 본예산 기능별 세출총괄표의 문화 및 관광(060)의 세목인 문화예술(061), 관광(062), 체육(063), 문화재(064) 가운데 문화예술, 문화재의 합으로 함(관광, 체육 제외)
",천원,"▶문화관련 예산: 지방재정365(지방재정통합공개시스템)
▶주민등록인구: 행정안전부, 「주민등록인구현황」",2016,57.96356071525182
문화예술 사업체수,"창작 및 예술관련 서비스업 사업체 수
▶산업 대분류 예술, 스포츠 및 여가관련 서비스업 > 중분류 창작, 예술 및 여가관련 서비스업 > 소분류 창작 및 예술관련 서비스업
▶경기도사업체조사: 등록기반, 10차 개정 기준
",개,"경기도, 「경기도사업체조사」",2016,
인구 십만명당 체육시설수,"인구단위(십만명)로 환산한 등록･신고 체육시설업소 수
※ 인구 십만명당 체육시설수 = (체육시설수 ÷ 주민등록인구) × 100,000",개,"경기도 수원시, 「수원기본통계」
행정안전부, 「주민등록인구현황」",2016,138.18620968626706
지역 축제건수,"문화체육관광부의 연도별 지역축제 정보 중 지역축제 개최 계획 건수
▶연간 개최되는 축제 현황을 소개하기 위해 각 지방자치단체로부터 취합한 자료임. 연초에 수립한 계획 자료임에 따라 중간에 연기, 취소, 변경 가능",건,"문화체육관광부, 지역축제정보",2016,
공연건수,"「공연법」 등에 따라 정부예산이 투입된 지역주민을 대상으로 단발적으로 개최되는 공연행사에 대한 정보 내 공연 건 수
▶지역구분은 제공기관명, 연도는 행사시작일 기준",건,"행정안전부 공공데이터포털, 전국공연행사정보표준데이터",2016,
문화 및 여가지원 충분도 비율,"문화 및 여가 지원 복지서비스의 제공 충분도
※ 충분도 = 7점 척도 중 ⑤ + ⑥ + ⑦ 매우충분하다 응답 비율 ",%,"수원시정연구원, 「수원서베이」",2016,
문화예술행사 관람횟수,"공연 및 스포츠 평균 관람 횟수(전체 또는 관람함)
▶2017년은 경기도사회조사 기준",회,"경기도, 「경기도사회조사」
경기도 수원시, 「수원시사회조사」",2016,
여가시간,"평일과 주말(휴일 포함)의 요일평균 여가시간
※ 요일평균 = {(평일 여가시간 × 5일) + (휴일 여가시간 × 2일)} ÷ 7일",시간,"수원시정연구원, 「수원서베이」",2016,
여가생활만족도,"전반적인 여가활동에 대한 만족도
※ 만족도 = 5점 척도 중 ""매우 만족"" + ""약간 만족"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,
공공도서관 방문자 수,연간 방문자수(이용자수),명,"경기도 수원시, 「수원기본통계」",2016,8089499.0
자원봉사참여율,"자원봉사활동 참여경험이 ""있다"" 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,
사회단체참여율,"평소 참여하고 있는 단체가 ""있다"" 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
선거투표율,"역대 대통령선거 개표현황
※ 투표율 = (투표자수 ÷ 선거인수) × 100
▶투표일 기준, 구별 합",%,중앙선거관리위원회,2016,
다문화 수용도,"외국인노동자, 새터민, 난민, 성소수자를 직장동료, 친구, 본인 또는 자녀의 배우자로 받아들일 수 있는지에 대해 ""그렇다"" 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
외국인_직장동료,,%,"수원시정연구원, 「수원서베이」",2016,
외국인_친구,,%,"수원시정연구원, 「수원서베이」",2016,
외국인_배우자,,%,"수원시정연구원, 「수원서베이」",2016,
새터민_직장동료,,%,"수원시정연구원, 「수원서베이」",2016,
새터민_친구,,%,"수원시정연구원, 「수원서베이」",2016,
새터민_배우자,,%,"수원시정연구원, 「수원서베이」",2016,
난민_직장동료,,%,"수원시정연구원, 「수원서베이」",2016,
난민_친구,,%,"수원시정연구원, 「수원서베이」",2016,
난민_배우자,,%,"수원시정연구원, 「수원서베이」",2016,
성소수자_직장동료,,%,"수원시정연구원, 「수원서베이」",2016,
성소수자_친구,,%,"수원시정연구원, 「수원서베이」",2016,
성소수자_배우자,,%,"수원시정연구원, 「수원서베이」",2016,
장애수용도,"장애인을 직장동료, 친구, 본인 또는 자녀의 배우자로 받아들일 수 있는지에 대해 ""그렇다"" 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
장애인_직장동료,,%,"수원시정연구원, 「수원서베이」",2016,
장애인_친구,,%,"수원시정연구원, 「수원서베이」",2016,
장애인_배우자,,%,"수원시정연구원, 「수원서베이」",2016,
사회적 신뢰,"가족, 이웃, 공공기관에 대한 신뢰도의 평균
※ 사회적 신뢰도 = 가족, 이웃, 공공기관별 7점 척도의 100점 환산 점수의 평균",점,"수원시정연구원, 「수원서베이」",2016,
가족관계 만족도,"전반적인 가족관계에 대한 만족도
※ 만족도 = 5점 척도 중 ""매우만족"" + ""약간만족"" 응답 비율
▶2016년 보기 항목에 ""해당없음"" 없음 / 2018년 ""해당없음"" 포함한 산출 비율 / 2022년, 2024년: ""해당없음"" 제외한 산출 비율 
",%,"경기도 수원시, 「수원시사회조사」",2016,61.2
가사노동분담정도,"부부가 평소 가사 분담을 ""공평하게 분담한다""는 응답 비율",%,"경기도 수원시, 「수원시사회조사」",2016,11.0
사회적고립도,"낙심하거나 우울할 때 이야기를 할 사람, 몸이 아플 때 보살펴 줄 수 있는 사람, 갑자기 금전적인 도움이 필요할 때 돈을 빌려줄 사람이 모두 ""없다""는 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
지역사회자긍심,"수원시민이라는데 대해 자부심을 ""느낀다""는 응답 비율
※ 자부심 = 7점 척도 중 ⑤ + ⑥ + ⑦ 매우 자부심을 느낀다 응답 비율",%,"수원시정연구원, 「수원서베이」",2016,
이웃신뢰도,"이웃에 대한 신뢰도
※ 신뢰도 = 7점 척도의 100점 환산 평균",점,"수원시정연구원, 「수원서베이」",2016,
총인구,,,,2017,
주민등록 기준,"주민등록인구 기준 총인구 수
▶2010년 주민등록에 의한 집계(연말기준), 외국인 제외
▶2011-2024년 거주자, 거주불명자, 재외국민 포함
",명,"행정안전부, 「주민등록인구현황」",2017,1202628.0
인구총조사 기준,"인구총조사 기준 총인구 수
▶2015년-2023년 외국인 포함
▶2010년 외국인 제외
",명,"통계청, 「인구총조사」",2017,1216996.0
청년인구 비율,"주민등록 전체 인구 대비 청년(19~34세) 인구 수와 비율
※ 청년인구비율 = (19~34세 인구 합 ÷ 전체인구수) × 100
▶전체는 거주자, 거주불명자, 재외국민 포함
▶주민등록 연령별 인구통계는 주민등록 신고에 따른 것으로 실제 연령과는 차이가 있을 수 있음
","명, %","행정안전부, 「주민등록인구현황」",2017,24.3261424147783
청년인구,,,,2017,292553.0
고령인구 비율,"주민등록 전체 인구 대비 고령(65세 이상) 인구 수와 비율
※ 고령인구 비율 = (65세 이상 인구 합 ÷ 전체 인구 수) × 100
▶2010년 주민등록에 의한 집계(연말기준, 외국인 제외), 2010-2024년 전체는 거주자, 거주불명자, 재외국민 포함, 연말기준, 주민등록에 의한 집계
▶주민등록 연령별 인구통계는 주민등록 신고에 따른 것으로 실제 연령과는 차이가 있을 수 있음
","명, %","행정안전부, 「주민등록인구현황」",2017,9.285248638814329
고령인구,,,,2017,111667.0
주간인구지수,"상주인구 대비 주간 활동인구의 비율
▶100을 기준으로 100미만인 경우에는 통근·통학을 위해 다른 지역으로 유출됨을 의미(100이상인 경우는 그 반대)
※ 주간인구지수 = ((상주인구 + 유입인구 – 유출인구) ÷ 상주인구) ×100
▶2010년 통근·통학(10% 표본), 2015, 2020년 통근통학(20%표본)
▶일반가구, 집단가구, 집단시설가구의 가구원을 대상으로 집계(외국인가구 및 특별조사구 제외, 일반가구, 집단가구, 집단시설가구 내에 내국인과 함께 사는 외국인 포함)
▶행정구역이 시·도인 경우의 유입·유출 인구는 해당 시·도 경계를 넘어 통근·통학하는 인구이며, 행정구역이 시·군·구인 경우의 유입·유출 인구는 해당 시·군·구 경계를 넘어 통근·통학하는 인구이기 때문에, 시·도의 유입·유출 인구는 시·군·구의 유입·유출 인구의 합이 아님
",%,"통계청, 「인구총조사」",2017,
